2559,1,17,50
2559,2,1,9
2559,2,16,98
2559,3,1,6
2559,3,16,32
2559,4,1,92
2559,4,16,87
2559,5,1,2
2559,5,16,98
2559,6,1,14
2559,6,16,79
2559,7,1,53
2559,7,16,55
2559,8,1,57
2559,8,16,33
2559,9,1,62
2559,9,16,42
2559,10,1,33
2559,10,16,98
2559,11,1,86
2559,11,16,44
2559,12,1,77
2559,12,30,35
2560,1,17,46
2560,2,1,25
2560,2,16,42
2560,3,1,14
2560,3,16,78
2560,4,1,92
2560,4,16,80
2560,5,1,40
2560,5,16,35
2560,6,1,53
2560,6,16,61
2560,7,1,47
2560,7,16,26
2560,8,1,87
2560,8,16,36
2560,9,1,37
2560,9,16,65
2560,10,1,71
2560,10,16,52
2560,11,1,86
2560,11,16,85
2560,12,1,98
2560,12,30,33
2561,1,17,89
2561,2,1,98
2561,2,16,50
2561,3,1,31
2561,3,16,39
2561,4,1,29
2561,4,16,82
2561,5,1,85
2561,5,16,60
2561,6,1,85
2561,6,16,20
2561,7,1,95
2561,7,16,46
2561,8,1,83
2561,8,16,27
2561,9,1,78
2561,9,16,10
2561,10,1,26
2561,10,16,79
2561,11,1,99
2561,11,16,93
2561,12,1,58
2561,12,30,16
2562,1,17,67
2562,2,16,62
2562,2,1,2
2562,3,16,65
2562,3,1,4
2562,4,16,56
2562,4,1,65
2562,5,16,64
2562,5,1,52
2562,6,16,23
2562,6,1,25
2562,7,16,71
2562,7,1,16
2562,8,16,29
2562,8,1,86
2562,9,16,88
2562,9,1,58
2562,10,16,89
2562,10,1,20
2562,11,16,85
2562,11,1,59
2562,12,16,15
2562,12,30,79
2563,1,17,32
2563,2,1,81
2563,2,16,97
2563,3,1,81
2563,3,16,68
2563,4,1,6
2563,5,16,94
2563,5,1,98
2563,6,16,77
2563,6,1,22
2563,7,16,64
2563,7,1,83
2563,8,16,53
2563,8,1,92
2563,9,16,88
2563,9,1,98
2563,10,16,57
2563,10,1,59
2563,11,16,38
2563,11,1,40
2563,12,16,46
2563,12,30,84
2564,1,17,70
2564,2,1,19
2564,2,16,15
2564,3,1,97
2564,3,16,39
2564,4,1,73
2564,4,16,19
2564,5,1,5
2564,5,16,56
2564,6,1,18
2564,6,16,14
2564,7,1,45
2564,7,16,17
2564,8,1,29
2564,8,16,70
2564,9,1,69
2564,9,16,23
2564,10,1,79
2564,10,16,90
2564,11,1,83
2564,11,16,38
2564,12,1,95
2564,12,30,57
